idinventario,num_etiqueta,entrada_Type,num_ci,edo_ci,noe,idequipo,serie,stock,usr_resguardo,almacen,tipo_almacen,empresa,ubica_rack,servicenow,adf,hostname,observacion,num_asignacion,usr_asignado,name_asignado,nota_asignado,user_recibe,f_recepcion,f_asignacion,usr_modifica,f_modifica,usr_registro,f_registro
202,1120013760,EAF,NULL,NULL,3,211,5CD3212LC3,1,rreyesa,ONBOARDING,Onboarding,2,NULL,NULL,250122,NULL,NULL,NULL,NULL,NULL,NULL,rreyesag,"2025-01-22 12:04:49",NULL,NULL,"2025-01-22 12:04:49",NULL,"2024-01-19 11:32:09"
203,1120013761,EAF,NULL,NULL,3,211,5CD3212LXQ,1,rreyesa,ONBOARDING,Onboarding,2,NULL,NULL,250122,NULL,NULL,NULL,NULL,NULL,NULL,rreyesag,"2025-01-22 12:04:49",NULL,NULL,"2025-01-22 12:04:49",NULL,"2024-01-19 11:32:09"
215,2320535854,EAF,NULL,NULL,7,219,4N5BQJ3,1,C368605,"BODEGA TI SANTA FE",Fisico,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-05 08:21:06",C290422,"2024-01-19 11:32:09"
216,2320535855,EAF,NULL,NULL,7,219,9M5BQJ3,1,C368605,"BODEGA TI SANTA FE",Fisico,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-05 08:15:48",C290422,"2024-01-19 11:32:09"
217,2320535877,EAF,NULL,NULL,7,219,DN5BQJ3,1,C368605,"BODEGA TI SANTA FE",Fisico,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-05 08:15:48",C290422,"2024-01-19 11:32:09"
218,2320535878,EAF,NULL,NULL,7,219,5N5BQJ3,1,C368605,"BODEGA TI SANTA FE",Fisico,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-05 08:15:48",C290422,"2024-01-19 11:32:09"
